__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781200249.687724,-0.396186046,0.034017040,0.000000000,,,,,
1781200249.688002,,,,1781200249.687607527,-1.584475106,0.505763712,-0.112660624,0.112891854
1781200249.689337,-0.399570615,0.033502313,0.000000000,,,,,
1781200249.689450,,,,1781200249.688920498,-1.583926889,0.505330231,-0.112538111,0.112928199
1781200249.690236,-0.403847895,0.032849447,0.000000000,,,,,
1781200249.690361,,,,1781200249.689771891,-1.583456501,0.504954028,-0.112432885,0.112958800
1781200249.691288,-0.407513107,0.032289719,0.000000000,,,,,
1781200249.692056,,,,1781200249.690980911,-1.582844706,0.504459807,-0.112295844,0.112997960
1781200249.692209,-0.412274310,0.031559520,0.000000000,,,,,
1781200249.693017,,,,1781200249.691796541,-1.582446472,0.504134137,-0.112206563,0.113022890
1781200249.693685,-0.415369109,0.031085763,0.000000000,,,,,
1781200249.693797,,,,1781200249.693427324,-1.581820384,0.503617758,-0.112066007,0.113061536
1781200249.694583,-0.420229312,0.030337545,0.000000000,,,,,
1781200249.694721,,,,1781200249.694226980,-1.581230170,0.503124787,-0.111933333,0.113097124
1781200249.695747,-0.424803975,0.029632283,0.000000000,,,,,
1781200249.695832,,,,1781200249.695375919,-1.580598224,0.502590649,-0.111791081,0.113134383
1781200249.696731,-0.429694775,0.028876195,0.000000000,,,,,
1781200249.696823,,,,1781200249.696355104,-1.580112211,0.502174783,-0.111681561,0.113162330
1781200249.701203,-0.433450472,0.028295975,0.000000000,,,,,
1781200249.701628,-0.436710718,0.027792056,0.000000000,,,,,
1781200249.701660,,,,1781200249.699721575,-1.579689810,0.501809924,-0.111586286,0.113186149
1781200249.701677,-0.449821954,0.025712618,0.000000000,,,,,
1781200249.701681,,,,1781200249.700624228,-1.577988201,0.500324667,-0.111201017,0.113280670
1781200249.702020,-0.452636752,0.025276196,0.000000000,,,,,
1781200249.702038,,,,1781200249.701284647,-1.577621575,0.499994831,-0.111117939,0.113299524
1781200249.702068,,,,1781200249.701787233,-1.577349683,0.499748570,-0.111056290,0.113313275
1781200249.704103,,,,1781200249.702922106,-1.576904554,0.499343217,-0.110955259,0.113335519
1781200249.704447,-0.454722370,0.024952983,0.000000000,,,,,
1781200249.704462,,,,1781200249.703757524,-1.576424357,0.498902260,-0.110846151,0.113359025
1781200249.704784,-0.458134162,0.024421874,0.000000000,,,,,
1781200249.704871,,,,1781200249.704612970,-1.575937194,0.498450908,-0.110735336,0.113382334
1781200249.705095,-0.461810460,0.023848257,0.000000000,,,,,
1781200249.706312,-0.465535474,0.023265952,0.000000000,,,,,
1781200249.706460,,,,1781200249.705907106,-1.575399032,0.497947775,-0.110612770,0.113407478
1781200249.707194,-0.469645162,0.022621736,0.000000000,,,,,
1781200249.707325,,,,1781200249.706787586,-1.574930137,0.497505138,-0.110505864,0.113428799
1781200249.708185,-0.473221047,0.022060928,0.000000000,,,,,
1781200249.708295,,,,1781200249.707885027,-1.574416806,0.497016384,-0.110388688,0.113451584
1781200249.709121,-0.477130943,0.021446154,0.000000000,,,,,
1781200249.709259,,,,1781200249.708783150,-1.573938750,0.496557030,-0.110279444,0.113472231
1781200249.710265,-0.480767379,0.020873764,0.000000000,,,,,
1781200249.710349,,,,1781200249.709746599,-1.573438748,0.496072454,-0.110165051,0.113493271
1781200249.711039,-0.484565957,0.020274570,0.000000000,,,,,
1781200249.711153,,,,1781200249.710812092,-1.572940393,0.495585180,-0.110050903,0.113513658
1781200249.713804,-0.488347065,0.019677111,0.000000000,,,,,
1781200249.713935,,,,1781200249.711774349,-1.572447781,0.495099286,-0.109937940,0.113533237
1781200249.714015,-0.492079730,0.019086353,0.000000000,,,,,
1781200249.714024,,,,1781200249.712744236,-1.571960036,0.494614041,-0.109825966,0.113552058
1781200249.714590,-0.495770724,0.018501247,0.000000000,,,,,
1781200249.714778,,,,1781200249.714097738,-1.571295443,0.493946993,-0.109673150,0.113576951
1781200249.715418,-0.500792984,0.017700776,0.000000000,,,,,
1781200249.715526,,,,1781200249.715056181,-1.570844750,0.493489631,-0.109569409,0.113593117
1781200249.716200,-0.504193281,0.017160123,0.000000000,,,,,
1781200249.716289,,,,1781200249.715932608,-1.570360389,0.492994267,-0.109457788,0.113609976
1781200249.717066,-0.507843134,0.016578448,0.000000000,,,,,
1781200249.717160,,,,1781200249.716794729,-1.569960906,0.492582408,-0.109365640,0.113623421
1781200249.718364,-0.510849667,0.016099369,0.000000000,,,,,
1781200249.718559,,,,1781200249.717940569,-1.569475933,0.492078935,-0.109253641,0.113639288
1781200249.720177,-0.514495493,0.015516511,0.000000000,,,,,
1781200249.720575,,,,1781200249.719775438,-1.568569667,0.491129552,-0.109043894,0.113667920
1781200249.722708,-0.521297614,0.014417228,0.000000000,,,,,
1781200249.722876,,,,1781200249.722386360,-1.567675895,0.490179040,-0.108836588,0.113694208
1781200249.724067,-0.527989641,0.013333252,0.000000000,,,,,
1781200249.724286,,,,1781200249.723463058,-1.566805414,0.489239613,-0.108634255,0.113717931
1781200249.725073,-0.534491599,0.012277886,0.000000000,,,,,
1781200249.725224,,,,1781200249.724723816,-1.566210532,0.488588842,-0.108495780,0.113732880
1781200249.726055,-0.538925336,0.011560822,0.000000000,,,,,
1781200249.726146,,,,1781200249.725779533,-1.565654380,0.487974621,-0.108366142,0.113746056
1781200249.726846,-0.543063748,0.010890754,0.000000000,,,,,
1781200249.726870,,,,1781200249.726468086,-1.565191567,0.487459014,-0.108258137,0.113756397
1781200249.727413,-0.546502571,0.010334075,0.000000000,,,,,
1781200249.727461,,,,1781200249.726966858,-1.564925255,0.487160262,-0.108195947,0.113762046
1781200249.728466,-0.548479091,0.010015027,0.000000000,,,,,
1781200249.728549,,,,1781200249.727777243,-1.564598120,0.486791672,-0.108119492,0.113768776
1781200249.728917,-0.550905115,0.009622462,0.000000000,,,,,
1781200249.728977,,,,1781200249.728664398,-1.564092319,0.486218580,-0.108001131,0.113778786
1781200249.731333,-0.554652183,0.009012863,0.000000000,,,,,
1781200249.731604,,,,1781200249.730737209,-1.563529982,0.485576247,-0.107869354,0.113789224
1781200249.732117,-0.558812013,0.008334019,0.000000000,,,,,
1781200249.732172,,,,1781200249.731738329,-1.562675235,0.484590584,-0.107668620,0.113803924
1781200249.733311,-0.565123474,0.007294989,0.000000000,,,,,
1781200249.733515,,,,1781200249.732940197,-1.562140275,0.483965915,-0.107542816,0.113811987
1781200249.734925,-0.569065149,0.006649349,0.000000000,,,,,
1781200249.735179,,,,1781200249.734464169,-1.561690478,0.483436448,-0.107436918,0.113818174
1781200249.735330,-0.572374526,0.006107365,0.000000000,,,,,
1781200249.735640,,,,1781200249.735207558,-1.560963530,0.482574224,-0.107265449,0.113827374
1781200249.736167,-0.577714959,0.005225478,0.000000000,,,,,
1781200249.736542,,,,1781200249.736081362,-1.560773257,0.482346332,-0.107220546,0.113829435
1781200249.737662,-0.579110502,0.004997478,0.000000000,,,,,
1781200249.737782,,,,1781200249.737380266,-1.560069527,0.481499940,-0.107054170,0.113836739
1781200249.738309,-0.584266890,0.004143800,0.000000000,,,,,
1781200249.738435,,,,1781200249.738139868,-1.559593207,0.480921263,-0.106941418,0.113840844
1781200249.738930,-0.587750614,0.003568939,0.000000000,,,,,
1781200249.739012,,,,1781200249.738773108,-1.559266982,0.480522242,-0.106864130,0.113843267
1781200249.740350,-0.590133584,0.003176492,0.000000000,,,,,
1781200249.740502,,,,1781200249.740099669,-1.558776794,0.479919480,-0.106747848,0.113846511
1781200249.741047,-0.593710346,0.002584296,0.000000000,,,,,
1781200249.741158,,,,1781200249.740872860,-1.558247077,0.479263268,-0.106622013,0.113849367
1781200249.744630,-0.597569867,0.001943527,0.000000000,,,,,
1781200249.744720,,,,1781200249.742909431,-1.557822588,0.478733409,-0.106521062,0.113851091
1781200249.744771,-0.600658195,0.001431187,0.000000000,,,,,
1781200249.744778,,,,1781200249.743510485,-1.556953359,0.477640306,-0.106313867,0.113853695
1781200249.744813,-0.606971682,0.000370363,0.000000000,,,,,
1781200249.744823,,,,1781200249.743781805,-1.556784917,0.477426159,-0.106273698,0.113853826
1781200249.745170,-0.608192807,0.000168296,0.000000000,,,,,
1781200249.745411,,,,1781200249.745078564,-1.556296244,0.476802825,-0.106157009,0.113853998
1781200249.745677,-0.611732590,-0.000422692,0.000000000,,,,,
1781200249.745740,,,,1781200249.745562077,-1.555938137,0.476342935,-0.106071416,0.113853681
1781200249.748222,-0.614323150,-0.000854522,0.000000000,,,,,
1781200249.748464,,,,1781200249.747506618,-1.555391364,0.475636732,-0.105940535,0.113852698
1781200249.751068,-0.618273565,-0.001517166,0.000000000,,,,,
1781200249.751206,,,,1781200249.750556707,-1.554055993,0.473894521,-0.105619726,0.113848423
1781200249.753086,-0.627898133,-0.003167986,0.000000000,,,,,
1781200249.753237,,,,1781200249.752695084,-1.553110322,0.472638200,-0.105391946,0.113842084
1781200249.754232,-0.634689301,-0.004324291,0.000000000,,,,,
1781200249.754383,,,,1781200249.753871441,-1.552218227,0.471437185,-0.105176540,0.113833902
1781200249.754938,-0.641077572,-0.005413559,0.000000000,,,,,
1781200249.755031,,,,1781200249.754674435,-1.551705536,0.470738976,-0.105052568,0.113828006
1781200249.756178,-0.644740344,-0.006033491,0.000000000,,,,,
1781200249.756306,,,,1781200249.755748510,-1.551192135,0.470034750,-0.104928245,0.113821415
1781200249.757513,-0.648402343,-0.006654560,0.000000000,,,,,
1781200249.757635,,,,1781200249.757003784,-1.550726014,0.469390865,-0.104815223,0.113814807
1781200249.757875,-0.651721933,-0.007217965,0.000000000,,,,,
1781200249.758341,,,,1781200249.757727861,-1.550281323,0.468772623,-0.104707261,0.113807960
1781200249.761883,-0.654884347,-0.007755386,0.000000000,,,,,
1781200249.762092,,,,1781200249.759821653,-1.549472451,0.467639877,-0.104510432,0.113794546
1781200249.762162,-0.660626157,-0.008742824,0.000000000,,,,,
1781200249.762168,,,,1781200249.761683941,-1.548448990,0.466189553,-0.104260652,0.113775352
1781200249.763228,,,,1781200249.762779713,-1.547929706,0.465444428,-0.104133729,0.113764196
1781200249.763400,-0.667870801,-0.009999594,0.000000000,,,,,
1781200249.764510,-0.671536793,-0.010628454,0.000000000,,,,,
1781200249.764751,,,,1781200249.763822794,-1.547470663,0.464781182,-0.104021380,0.113753698
1781200249.765393,-0.674772300,-0.011183685,0.000000000,,,,,
1781200249.765723,,,,1781200249.765130997,-1.546945795,0.464017922,-0.103892723,0.113741048
1781200249.766199,-0.678465954,-0.011819960,0.000000000,,,,,
1781200249.766320,,,,1781200249.765996933,-1.546416326,0.463242460,-0.103762736,0.113727538
1781200249.768066,-0.682185594,-0.012462159,0.000000000,,,,,
1781200249.768162,,,,1781200249.766696692,-1.546132248,0.462823740,-0.103692936,0.113719889
1781200249.768229,-0.684178449,-0.012804503,0.000000000,,,,,
1781200249.768234,,,,1781200249.767798424,-1.545609616,0.462049854,-0.103564322,0.113705406
1781200249.770671,-0.687840267,-0.013438781,0.000000000,,,,,
1781200249.770824,,,,1781200249.770091295,-1.544647079,0.460612482,-0.103326772,0.113677323
1781200249.771292,-0.694568763,-0.014621893,0.000000000,,,,,
1781200249.771372,,,,1781200249.771110773,-1.544094795,0.459778169,-0.103190244,0.113659759
1781200249.772304,-0.698419186,-0.015292754,0.000000000,,,,,
1781200249.772873,-0.701179668,-0.015772550,0.000000000,,,,,
1781200249.773149,,,,1781200249.771991253,-1.543698194,0.459174925,-0.103092084,0.113646550
1781200249.773187,,,,1781200249.772565842,-1.543352637,0.458646638,-0.103006469,0.113634667
1781200249.774028,-0.703581801,-0.016190150,0.000000000,,,,,
1781200249.774144,,,,1781200249.773688555,-1.542855814,0.457883220,-0.102883190,0.113617100
1781200249.775325,-0.707030691,-0.016793426,0.000000000,,,,,
1781200249.775434,,,,1781200249.774868488,-1.542387263,0.457158571,-0.102766759,0.113599888
1781200249.776620,-0.710277935,-0.017362124,0.000000000,,,,,
1781200249.777485,,,,1781200249.776210785,-1.541930062,0.456447121,-0.102652989,0.113582497
1781200249.777611,-0.713441477,-0.017917076,0.000000000,,,,,
1781200249.777879,,,,1781200249.777279854,-1.541378228,0.455582950,-0.102515436,0.113560795
1781200249.778138,-0.717253294,-0.018589021,0.000000000,,,,,
1781200249.778154,,,,1781200249.777958393,-1.540871510,0.454783790,-0.102388930,0.113540083
1781200249.779830,-0.720747008,-0.019205414,0.000000000,,,,,
1781200249.779961,,,,1781200249.779479265,-1.540555320,0.454282135,-0.102309913,0.113526716
1781200249.781719,-0.722923836,-0.019587995,0.000000000,,,,,
1781200249.782361,,,,1781200249.781368256,-1.539523038,0.452633424,-0.102051104,0.113482043
1781200249.782441,-0.730015180,-0.020864466,0.000000000,,,,,
1781200249.782921,,,,1781200249.782338381,-1.539019238,0.451819423,-0.101924593,0.113458778
1781200249.783285,-0.733466303,-0.021477254,0.000000000,,,,,
1781200249.783329,,,,1781200249.783111811,-1.538635576,0.451195741,-0.101828132,0.113440516
1781200249.784234,-0.736090227,-0.021942386,0.000000000,,,,,
1781200249.784333,,,,1781200249.784053802,-1.538278930,0.450613148,-0.101738361,0.113423149
1781200249.785402,-0.738526138,-0.022374581,0.000000000,,,,,
1781200249.785601,,,,1781200249.784819365,-1.537845512,0.449901680,-0.101629114,0.113401594
1781200249.788074,-0.741482245,-0.022901260,0.000000000,,,,,
1781200249.788260,,,,1781200249.787557125,-1.537423236,0.449204647,-0.101522531,0.113380066
1781200249.789308,-0.744357897,-0.023414420,0.000000000,,,,,
1781200249.789435,,,,1781200249.789080620,-1.535927807,0.446712813,-0.101143239,0.113301683
1781200249.790759,-0.754508160,-0.025293678,0.000000000,,,,,
1781200249.790856,,,,1781200249.790350676,-1.535649267,0.446241856,-0.101072527,0.113285895
1781200249.792986,-0.756392313,-0.025629684,0.000000000,,,,,
1781200249.793262,,,,1781200249.792446375,-1.535031555,0.445192350,-0.100915390,0.113250333
1781200249.793872,-0.760564009,-0.026383283,0.000000000,,,,,
1781200249.793923,,,,1781200249.793715239,-1.533947982,0.443333416,-0.100638747,0.113185848
1781200249.795504,-0.767859058,-0.027725658,0.000000000,,,,,
1781200249.795629,,,,1781200249.795186281,-1.533312355,0.442229756,-0.100476119,0.113145998
1781200249.797613,-0.772124276,-0.028501362,0.000000000,,,,,
1781200249.797792,,,,1781200249.796912432,-1.532882119,0.441477291,-0.100365881,0.113118222
1781200249.800456,-0.775005331,-0.029023129,0.000000000,,,,,
1781200249.800606,,,,1781200249.799776077,-1.531526932,0.439085326,-0.100017031,0.113028645
1781200249.801989,-0.784049697,-0.030718270,0.000000000,,,,,
1781200249.802150,,,,1781200249.801633358,-1.530453284,0.437159729,-0.099739622,0.112953203
1781200249.802946,-0.791181256,-0.032046717,0.000000000,,,,,
1781200249.803118,,,,1781200249.802582502,-1.530003534,0.436344241,-0.099623233,0.112920171
1781200249.803662,-0.794159621,-0.032591376,0.000000000,,,,,
1781200249.803741,,,,1781200249.803340912,-1.529659494,0.435717176,-0.099534092,0.112894437
1781200249.804729,-0.796434317,-0.033006788,0.000000000,,,,,
1781200249.804861,,,,1781200249.804451704,-1.529297950,0.435055315,-0.099440296,0.112867008
1781200249.805579,-0.798821335,-0.033443866,0.000000000,,,,,
1781200249.805684,,,,1781200249.805346727,-1.528817921,0.434172123,-0.099315549,0.112830031
1781200249.806246,-0.801985214,-0.034026935,0.000000000,,,,,
1781200249.806366,,,,1781200249.806015968,-1.528495346,0.433575455,-0.099231624,0.112804716
1781200249.807140,-0.804107838,-0.034416849,0.000000000,,,,,
1781200249.807238,,,,1781200249.806896687,-1.528093395,0.432828712,-0.099126896,0.112772754
1781200249.810437,,,,1781200249.809216976,-1.527680714,0.432058145,-0.099019213,0.112739415
1781200249.811259,-0.806748833,-0.034904337,0.000000000,,,,,
1781200249.811279,,,,1781200249.809859753,-1.526783399,0.430370445,-0.098784307,0.112665596
1781200249.811290,-0.809455776,-0.035405327,0.000000000,,,,,
1781200249.811296,,,,1781200249.810968399,-1.526455422,0.429748200,-0.098698344,0.112637729
1781200249.811304,-0.815325469,-0.036514107,0.000000000,,,,,
1781200249.812633,-0.817465526,-0.036911217,0.000000000,,,,,
1781200249.812773,,,,1781200249.811682940,-1.526035346,0.428947642,-0.098588071,0.112601581
1781200249.813301,-0.820202169,-0.037421814,0.000000000,,,,,
1781200249.813600,,,,1781200249.813065290,-1.525543009,0.428004156,-0.098458594,0.112558534
1781200249.814651,-0.823403327,-0.038022162,0.000000000,,,,,
1781200249.814811,,,,1781200249.813892841,-1.525130922,0.427209901,-0.098350056,0.112521858
1781200249.815077,-0.826077545,-0.038523470,0.000000000,,,,,
1781200249.815110,,,,1781200249.814568996,-1.524785324,0.426540584,-0.098258912,0.112490645
