__time,/current_EE_pose/header/header/stamp,/current_EE_pose/pose/orientation/pitch,/current_EE_pose/pose/orientation/roll,/current_EE_pose/pose/orientation/w,/current_EE_pose/pose/orientation/x,/current_EE_pose/pose/orientation/y,/current_EE_pose/pose/orientation/yaw,/current_EE_pose/pose/orientation/z,/current_EE_pose/pose/position/x,/current_EE_pose/pose/position/y,/current_EE_pose/pose/position/z,/equilibrium_pose/header/header/stamp,/equilibrium_pose/pose/orientation/pitch,/equilibrium_pose/pose/orientation/roll,/equilibrium_pose/pose/orientation/w,/equilibrium_pose/pose/orientation/x,/equilibrium_pose/pose/orientation/y,/equilibrium_pose/pose/orientation/yaw,/equilibrium_pose/pose/orientation/z,/equilibrium_pose/pose/position/x,/equilibrium_pose/pose/position/y,/equilibrium_pose/pose/position/z
1781381094.672184,,,,,,,,,,,,1781381094.669538498,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.676434,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.090608184,0.480011671,0.000000000,,,,,,,,,,,
1781381094.677726,,,,,,,,,,,,1781381094.674865961,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.682115,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.090608184,0.480011671,0.000000000,,,,,,,,,,,
1781381094.682159,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.090725507,0.480011561,0.000000000,,,,,,,,,,,
1781381094.687305,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.090725507,0.480011561,0.000000000,,,,,,,,,,,
1781381094.688990,,,,,,,,,,,,1781381094.686056137,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.689563,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.090900234,0.480011394,0.000000000,,,,,,,,,,,
1781381094.689634,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.090900234,0.480011394,0.000000000,,,,,,,,,,,
1781381094.691985,,,,,,,,,,,,1781381094.690848112,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.694871,,,,,,,,,,,,1781381094.692590237,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.694887,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091043760,0.480011263,0.000000000,,,,,,,,,,,
1781381094.694977,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091043760,0.480011263,0.000000000,,,,,,,,,,,
1781381094.695715,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091043760,0.480011263,0.000000000,,,,,,,,,,,
1781381094.698605,,,,,,,,,,,,1781381094.696547985,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.698620,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091043760,0.480011263,0.000000000,,,,,,,,,,,
1781381094.698674,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091043760,0.480011263,0.000000000,,,,,,,,,,,
1781381094.699736,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091235643,0.480011068,0.000000000,,,,,,,,,,,
1781381094.700230,,,,,,,,,,,,1781381094.699637175,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.705175,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091235643,0.480011068,0.000000000,,,,,,,,,,,
1781381094.705369,,,,,,,,,,,,1781381094.703349113,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.705381,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091334303,0.480010966,0.000000000,,,,,,,,,,,
1781381094.705952,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091334303,0.480010966,0.000000000,,,,,,,,,,,
1781381094.706637,,,,,,,,,,,,1781381094.706117868,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
